index,RegionName,CountyName,RegionType,StateName,State,StateCodeFIPS,county_fips,1/1/17,2/1/17,3/1/17,4/1/17,5/1/17,6/1/17,7/1/17,8/1/17,9/1/17,10/1/17,11/1/17,12/1/17,1/1/18,2/1/18,3/1/18,4/1/18,5/1/18,6/1/18,7/1/18,8/1/18,9/1/18,10/1/18,11/1/18,12/1/18,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,7/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,11/1/21,12/1/21,1/1/22,2/1/22,3/1/22,4/1/22,5/1/22,6/1/22,7/1/22,8/1/22,9/1/22,10/1/22,11/1/22,12/1/22,1/1/23,2/1/23,3/1/23,4/1/23,5/1/23,6/1/23,7/1/23,8/1/23,9/1/23,10/1/23,11/1/23,12/1/23
"Unemployment Rate in Alachua County, FL",Alachua County,Alachua,county,FL,FL,12,12001,4.5,3.9,3.8,3.5,3.6,4.2,4.2,4.1,3.7,3.6,3.8,3.5,3.9,3.5,3.3,3.1,3.1,3.8,3.6,3.5,3.1,3.2,3,3.1,3.6,3,3,2.6,2.8,3.4,3.5,3.2,2.9,2.9,2.7,2.5,2.9,2.4,3.7,8.4,8.7,7.7,8.8,6.1,5.6,5,4.8,4.6,4.9,4.3,3.9,3.7,3.7,4.4,4.3,4,3.5,3.4,3.1,2.8,3.5,3.1,2.8,2.6,2.8,3.3,3.2,3,2.7,2.8,2.8,2.3,2.9,2.8,2.7,2.5,2.9,3.4,3.4,3.5,3.2,3.5,3.3,3.1
"Unemployment Rate in Alameda County, CA",Alameda County,Alameda,county,CA,CA,6,6001,4.3,4,3.9,3.6,3.4,3.9,4.1,4,3.5,3.4,3.2,3.1,3.4,3.3,3.1,2.8,2.6,3.3,3.2,3.2,2.9,3,2.9,3,3.5,3.1,3.2,2.7,2.6,3.1,3.3,3.2,2.7,2.8,2.8,2.7,3.1,2.9,4.4,14.8,14.1,12.8,12,10,9.5,8.3,8,7.7,7.6,7.3,7,6.8,6.3,7,6.5,6.2,5.2,4.9,4.4,4,4.4,3.9,3.5,3.1,2.8,3.3,3.3,3.4,3,3.2,3.3,3,3.7,3.7,3.7,3.3,3.5,4.1,4.2,4.6,4.4,4.6,4.5,4.5
"Unemployment Rate in Albany County, NY",Albany County,Albany,county,NY,NY,36,36001,4.5,4.6,4,3.9,3.9,4.4,4.5,4.5,4.2,4,4,3.9,4.5,4.6,4.1,3.6,3.3,3.8,3.8,3.7,3.3,3.2,3.1,3.3,3.9,3.9,3.6,3.1,3.1,3.4,3.8,3.7,3.3,3.3,3.3,3.4,3.8,3.8,4.4,13.6,10.9,9.3,8.8,6.9,6.3,5.1,4.9,5.3,5.8,6,5.6,4.8,4.4,4.9,4.7,4.4,3.7,3.4,3,2.7,3.5,3.6,3.3,2.8,2.8,3.2,3.4,3.4,2.9,2.7,2.8,2.8,3.5,3.4,3,2.6,2.9,3.2,3.3,3.6,3.4,3.5,3.4,3.7
"Unemployment Rate in Allegheny County, PA",Allegheny County,Allegheny,county,PA,PA,42,42003,5.5,5.5,5.1,4.4,4.7,5,5.3,5.2,4.4,4.2,4.2,4.2,4.9,4.8,4.4,3.9,3.8,4.5,4.6,4.5,3.7,3.6,3.5,3.7,4.5,4.5,4.2,3.6,3.8,4.2,4.6,4.7,3.7,3.8,3.7,3.8,4.5,4.4,5,15.1,13,11.3,11.7,9.7,8.7,7.6,7.4,7.8,7.4,7.1,6.4,6,5.9,6.2,6.2,6,4.7,4.5,3.9,3.4,4.5,4.3,3.9,3.6,3.8,4.3,4.4,4.8,3.4,3.5,3.4,3.2,3.9,4,3.4,2.8,3.2,3.4,3.5,4,2.9,3,2.7,2.7
"Unemployment Rate in Arlington County, VA",Arlington County,Arlington,county,VA,VA,51,51013,2.9,2.8,2.7,2.4,2.7,2.5,2.5,2.5,2.3,2.2,2.1,2,2.4,2.2,2.2,1.9,2.1,2.1,2,2,1.9,1.9,1.8,1.8,2.4,2,2,1.7,1.9,1.9,1.9,2,1.8,1.8,1.7,1.5,2,1.7,2.1,7.2,6.6,7.2,6.5,5.5,4.7,4.3,4.2,3.6,3.7,3.6,3.5,3.2,3.3,3.8,3.6,3.3,2.3,1.9,1.6,1.8,2.1,1.9,1.9,1.8,2,2.1,2.1,2.3,2,2,2,1.8,2.3,2.1,2.1,1.9,2.1,2.2,2.1,2.3,2.3,2.3,2.2,2
"Unemployment Rate in Austin County, TX",Austin County,Austin,county,TX,TX,48,48015,5.5,5.3,5,4.4,4.5,4.7,4.6,4.4,4,3.6,3.8,3.6,4.2,4.1,3.8,3.5,3.5,4.1,3.9,3.7,3.5,3.3,3.3,3.5,4.1,3.7,3.4,2.9,3,3.7,3.8,3.6,3.3,3.2,3.4,3.2,3.7,3.5,5.4,9.1,9.1,8.6,8.3,6.8,6.8,6.2,6.4,6.5,6.8,6.5,6.1,5.7,5.5,6.3,5.7,5.5,5.1,4.8,4.6,4.1,4.7,4.4,3.8,3.5,3.8,4.3,4.2,4.1,3.9,3.8,3.7,3.4,4.1,4.3,3.7,3.2,3.6,4.1,3.9,3.9,3.6,3.5,3.2,3.1
"Unemployment Rate in Bartow County, GA",Bartow County,Bartow,county,GA,GA,13,13015,5.7,5.2,4.8,4.5,4.7,4.9,5,4.8,4.1,4.1,4,4.1,4.4,4.2,3.9,3.6,3.6,4.2,3.9,3.9,3.4,3.7,3.3,3.8,4.2,3.6,3.5,3,3.4,3.6,3.5,3.7,3.1,3.2,3,3.6,3.8,3.5,4,13.9,10,7.8,7.2,5.9,5.3,4.5,4.3,4.5,4.8,4.3,4,3.4,3.7,4,3.4,3.6,3,3,2.7,2.7,3.5,3,2.9,2.4,2.8,3.2,2.8,3.3,2.7,3.1,2.9,2.9,3.8,3.3,3.1,2.6,3.1,3.2,3,3.5,3,3,2.7,2.8
"Unemployment Rate in Bergen County, NJ",Bergen County,Bergen,county,NJ,NJ,34,34003,4.1,4.1,3.7,3.5,3.8,3.8,4.3,4.1,3.9,3.6,3.5,3.2,3.8,3.9,3.6,3.2,3.2,3.7,3.9,3.5,3,2.8,2.5,2.7,3.3,3.2,2.8,2.2,2.5,2.7,3.3,3.1,2.7,2.7,2.7,2.8,3.4,3.5,4,14.1,15.5,14.6,15.1,13.2,7.4,6.6,6.7,6.6,7.3,7.3,7,6.6,6.5,7.2,7.1,6.6,5.8,5.2,4.9,4.6,5.1,4.7,4.1,3.5,3.4,3.5,3.5,3.1,2.7,2.8,2.9,2.9,3.5,3.8,3.6,3.1,3.7,4.2,4.4,4.5,4.1,4,3.8,3.8
"Unemployment Rate in Bexar County, TX",Bexar County,Bexar,county,TX,TX,48,48029,4,4,3.7,3.4,3.5,3.8,3.8,3.7,3.3,3.1,3.3,3.2,3.6,3.6,3.4,3.1,3.1,3.7,3.6,3.5,3.3,3.2,3.2,3.2,3.7,3.4,3.1,2.7,2.8,3.4,3.5,3.3,3.1,3,3,2.8,3.2,3.1,4.8,13.3,12.5,10.4,9.9,7.9,7.6,6.5,6.5,6.3,6.7,6.5,6.2,5.5,5.3,6,5.5,5.2,4.8,4.5,4.2,3.8,4.3,4.1,3.6,3.3,3.5,4,3.9,3.8,3.6,3.7,3.7,3.5,4,4.2,3.8,3.4,3.7,3.9,4,4,3.8,3.5,3.3,3.2
"Unemployment Rate in Brevard County, FL",Brevard County,Brevard,county,FL,FL,12,12009,5.1,4.7,4.4,4.2,4.3,4.5,4.6,4.6,4.3,4.1,4.1,3.8,4.2,3.8,3.7,3.5,3.4,3.9,3.8,3.7,3.4,3.4,3.3,3.3,3.8,3.4,3.3,3,3.1,3.5,3.5,3.5,3.2,3.1,3,2.8,3.2,2.8,4.3,12.1,12.1,9.5,10.2,7.1,6.8,5.8,5.5,5.1,5.3,4.9,4.4,4.2,4.1,4.6,4.3,4.2,3.8,3.6,3.5,3,3.6,3.2,2.9,2.7,2.8,3.1,3,3,2.8,2.8,2.8,2.5,2.9,2.8,2.7,2.4,2.8,3.1,3.1,3.3,3.2,3.3,3.2,3
"Unemployment Rate in Bronx County, NY",Bronx County,Bronx,county,NY,NY,36,36005,6.9,6.7,6.1,5.7,5.8,6.1,6.7,6.6,6,5.9,5.7,5.7,6.4,6.2,5.9,5.3,5,5.7,6.1,6,5.3,5.3,5.3,5.5,6.5,6,5.5,4.9,5.1,5.2,5.8,5.7,4.9,5.3,4.9,4.7,5.7,5.7,7.2,14.8,26.2,21.5,22.1,19.8,19.5,17.6,16.7,16.3,17.3,16.6,15.6,15.3,14,14.8,14.3,13.7,12,11.4,10.6,10.5,10.9,10,8.8,8.2,7.5,7.6,7.6,7.2,6.2,6.9,6.9,6.8,7.5,7.5,6.9,6.3,6.5,6.9,6.9,7.1,6.4,6.9,6.3,6.6
"Unemployment Rate in Broward County, FL",Broward County,Broward,county,FL,FL,12,12011,4.6,4.3,4,3.8,3.9,4.2,4.2,4.2,3.9,3.8,3.8,3.6,3.9,3.6,3.5,3.3,3.3,3.8,3.7,3.6,3.3,3.3,3.1,3.1,3.6,3.2,3.1,2.8,3,3.3,3.4,3.3,3,3,2.9,2.6,3,2.8,4.8,15,17.1,14.1,14.6,10.5,9.5,7.7,7.1,6.6,6.5,5.8,5.5,5.2,5.1,5.5,5.1,4.9,4.5,4.1,3.9,3.3,3.8,3.3,3,2.8,2.8,3.1,3,3,2.8,2.8,2.7,2.3,2.8,2.7,2.6,2.4,2.7,3,3.1,3.3,3.1,3.1,3,2.8
"Unemployment Rate in Cache County, UT",Cache County,Cache,county,UT,UT,49,49005,2.9,3.2,2.9,2.6,2.5,3,2.9,3,2.4,2.3,2.3,2.2,2.7,2.9,2.7,2.4,2.2,2.9,2.8,2.8,2.2,2.1,2.2,2.2,2.4,2.6,2.4,2.1,2,2.4,2.4,2.3,1.7,1.7,1.7,1.7,2.1,2.1,2.3,5.6,4.2,4.1,3.4,3.1,2.7,2.2,2.2,2.2,2.6,2.6,2.2,2.1,2,2.4,2,2.3,1.6,1.6,1.6,1.5,2,2.1,2,1.9,2,2.5,2,2.3,1.9,2,2.1,2,2.3,2.4,2.3,2.1,2.3,2.5,2.2,2.6,2.2,2.3,2.2,2.1
"Unemployment Rate in Chesterfield County, VA",Chesterfield County,Chesterfield,county,VA,VA,51,51041,4.1,4,3.8,3.4,3.6,3.6,3.6,3.8,3.5,3.2,3.2,3,3.5,3.3,3.2,2.7,2.9,3.1,3,3,2.8,2.7,2.6,2.6,3.2,2.9,2.9,2.4,2.7,2.8,2.9,2.9,2.6,2.5,2.5,2.3,2.8,2.5,3.1,10.7,9.4,9.6,8.5,6.9,5.8,4.9,4.6,4.1,4.4,4.3,4.2,3.7,3.9,4.4,3.9,3.7,3.3,3,2,2.7,2.6,2.4,2.4,2.3,2.7,2.9,2.8,3.2,2.9,2.8,2.8,2.5,3,2.9,2.8,2.4,2.8,2.9,2.9,3.2,3.1,3,2.9,2.7
"Unemployment Rate in Clark County, NV",Clark County,Clark,county,NV,NV,32,32003,5.6,5.4,5.2,5.3,5,5.4,5.4,5.3,5.2,4.9,4.9,4.9,5.2,4.9,4.7,4.6,4.3,4.9,4.8,4.6,4.4,4.3,4.2,4.4,4.9,4.3,4.3,4.2,4.1,4.6,4.6,4.4,4.1,4.1,4,4.1,4.6,4.3,8,34,28.5,22.4,20.1,16.2,15.1,12.6,11.5,11.1,10.7,9.8,9.1,8.8,8,8.5,7.9,7.3,6.5,6.1,5.8,5.5,6.3,6,5.7,5.7,5.7,6.1,6,6,5.6,5.6,5.5,5.4,5.6,5.6,5.3,5.1,5.3,5.4,5.6,5.7,5.5,5.5,5.3,5.4
"Unemployment Rate in Clark County, WA",Clark County,Clark,county,WA,WA,53,53011,5.9,5.7,5.3,4.9,4.7,4.8,4.9,5.2,4.6,4.5,4.7,4.9,5.1,5.4,5.2,4.8,4.4,4.7,4.6,4.8,4.2,4.4,4.7,4.9,5.3,5.4,5.2,4.7,4.4,4.9,4.9,5,4.2,4.2,4.3,3.9,4.4,4.2,4.7,14.5,13.7,11.7,11,8.9,7.8,6.7,6.8,7,6.9,7.2,6.4,5.7,5.4,5.8,5.5,5.6,4.8,4.4,4.2,4.1,4.8,5,4.7,4.3,4.2,4.5,4.2,4.9,4.1,4.2,4.6,4.4,4.5,5.1,4.4,3.8,3.6,3.7,4.1,4.8,4.2,4.4,4.5,4.9
"Unemployment Rate in Cook County, IL",Cook County,Cook,county,IL,IL,17,17031,5.8,5.4,4.8,4.9,4.8,5.6,5.5,5.6,5,4.9,4.7,4.6,5.2,5,4.2,3.7,3.7,4.7,4.4,4.2,3.9,3.9,3.5,3.9,4.9,4.4,4.2,3.9,3.7,4.3,4.2,4,3.6,3.5,3.3,3.2,3.9,3.9,6.4,19.7,16,14.4,13.7,11.7,11,9.2,8.9,8.6,8.6,8.1,7.5,7.7,7.6,8.8,7.9,7.1,5.8,5.5,4.8,4.4,5.4,5.2,4.6,4.6,4.8,5.6,5.3,5.5,4.9,4.6,4.4,4,4.6,4.4,4.1,3.6,3.9,5,4.7,5.2,4.8,4.6,4.2,4
"Unemployment Rate in Cuyahoga County, OH",Cuyahoga County,Cuyahoga,county,OH,OH,39,39035,6.8,7.3,6.4,5.7,5.9,6.3,6.1,5.7,5,4.6,4.5,4.7,5.3,5.8,5.3,4.9,5,5.7,5.1,4.6,4.2,4.1,3.9,4.2,4.9,4.9,4.6,3.9,4.1,4.8,4.7,4.1,3.9,3.5,3.6,3.8,4.8,5.1,5.9,21.2,17.1,15.1,13.5,10.7,10.1,8.2,7.5,7.3,7.7,8,7.2,6.6,6.6,7.4,6.5,5.9,5.4,4.7,4.4,4.4,5.4,5.9,5.4,4.9,5,5.6,5,4.7,4.4,4,3.7,3.4,4.2,4.8,4.3,3.6,4,4.4,3.9,3.9,3.7,3.2,3,3.2
"Unemployment Rate in Dallas County, TX",Dallas County,Dallas,county,TX,TX,48,48113,4.4,4.4,4.2,3.8,3.9,4.2,4.1,4.2,3.7,3.5,3.6,3.5,4,4.1,3.9,3.6,3.6,4.2,4.1,3.9,3.8,3.6,3.5,3.6,4.2,3.9,3.5,3.1,3.2,3.8,3.8,3.7,3.4,3.3,3.2,3,3.5,3.3,5.2,12.8,12.4,10.9,9.9,8,7.8,6.8,6.7,6.6,6.9,6.8,6.5,5.9,5.6,6.3,5.7,5.3,4.9,4.6,4.2,3.9,4.4,4.1,3.6,3.4,3.5,4,3.9,3.8,3.7,3.7,3.7,3.5,4,4.2,3.9,3.5,3.8,4,4.1,4.1,3.9,3.7,3.5,3.4
"Unemployment Rate in Dane County, WI",Dane County,Dane,county,WI,WI,55,55025,2.7,2.8,2.4,2.1,2.4,2.8,2.5,2.4,2.3,2.2,2.1,1.9,2.3,2.4,2.3,2,2.2,2.9,2.4,2.2,2,2.1,2,1.9,2.5,2.4,2.5,2.2,2.5,3,2.6,2.4,2.1,2,1.9,1.9,2.4,2.2,2.5,10.5,8.1,7.5,6.4,5,4.3,3.6,3.5,3.5,3.8,3.8,3.7,3.3,3,3.6,3,2.8,2.2,2,1.9,1.8,2.4,2.5,2.4,2,2,2.7,2.3,2.3,2,1.8,1.8,1.6,2.1,2.1,2,1.8,2.2,2.8,2.5,2.7,2.4,2.2,2.1,2.1
"Unemployment Rate in Davidson County, TN",Davidson County,Davidson,county,TN,TN,47,47037,3.7,3.4,3.1,2.6,2.4,3.1,2.9,2.7,2.5,2.4,2.5,2.4,2.7,2.6,2.7,2.3,2.4,3.1,2.9,2.8,2.7,2.6,2.4,2.4,2.8,2.5,2.6,2.2,2.4,2.9,2.8,2.5,2.4,2.4,2.3,2.3,2.6,2.5,3,16.2,13.7,13.1,12.5,9.6,8.4,6.6,5.8,5.5,5.7,5.4,5.1,4.8,4.7,5.5,4.7,4.1,3.5,3.2,2.8,2.7,3.2,3,2.8,2.6,2.7,3.3,2.9,2.9,2.7,2.8,2.6,2.4,2.8,2.8,2.6,2.2,2.6,3,2.8,2.8,2.7,2.7,2.6,2.5
"Unemployment Rate in Denton County, TX",Denton County,Denton,county,TX,TX,48,48121,3.7,3.8,3.6,3.2,3.3,3.6,3.5,3.5,3.2,2.9,3.1,3,3.4,3.4,3.4,3,3,3.5,3.4,3.3,3.2,3,3,3,3.5,3.2,3.1,2.6,2.7,3.2,3.3,3.1,2.9,2.8,2.8,2.6,2.9,2.8,4.4,11.8,10.7,9,8,6.3,6,5.2,5.3,5.3,5.5,5.4,5,4.5,4.4,5,4.6,4.2,4.1,3.7,3.5,3.2,3.6,3.5,3.1,2.9,3,3.5,3.4,3.3,3.2,3.2,3.2,3.1,3.6,3.7,3.6,3.1,3.4,3.8,3.8,3.8,3.6,3.4,3.2,3.1
"Unemployment Rate in Denver County/City, CO",Denver County/City,Denver,county,CO,CO,8,8031,3,2.8,2.3,2.2,2.2,2.6,2.6,2.7,2.5,2.5,2.6,2.6,3,3.2,2.9,2.7,2.7,3.2,3.2,3.1,2.8,2.8,2.9,2.9,3.2,3,2.8,2.4,2.3,2.6,2.6,2.5,2.3,2.4,2.5,2.5,3,3.2,3.8,12,13.3,12.6,8.1,7.2,7.4,7,7,7.2,7.2,6.8,6.7,6.7,6.3,6.7,6.2,5.7,5.2,5,4.3,4.1,4.3,4,3.4,3,2.8,2.9,2.9,2.9,2.7,2.9,2.9,2.8,3.2,3.5,3.1,2.9,3.1,3.7,3.4,3.6,3.3,3.4,3.4,3.6
"Unemployment Rate in Duval County, FL",Duval County,Duval,county,FL,FL,12,12031,5,4.6,4.3,4.1,4.2,4.6,4.7,4.7,4.1,4,4,3.7,4.1,3.8,3.7,3.5,3.5,4.1,4.2,3.9,3.5,3.5,3.3,3.3,3.8,3.4,3.4,3,3.2,3.7,3.9,3.6,3.3,3.2,3.1,2.8,3.3,2.9,4.5,11.1,11.7,9.7,10.9,7.9,7.3,6.3,5.9,5.6,5.7,5.2,4.9,4.6,4.5,5.1,4.9,4.6,4.2,4,3.8,3.2,3.9,3.4,3.1,2.9,3,3.5,3.4,3.4,2.9,2.9,2.9,2.6,3,2.9,2.9,2.6,2.9,3.4,3.5,3.6,3.3,3.3,3.2,3.1
"Unemployment Rate in Elkhart County, IN",Elkhart County,Elkhart,county,IN,IN,18,18039,3.2,3,2.6,2.1,2.4,2.6,2.6,2.8,2.2,2.2,2.5,2.1,2.6,2.6,2.4,2,2.4,2.8,2.8,2.8,2.3,2.8,2.8,2.8,3.9,3.4,3.1,2.4,2.7,3.2,3.8,3,2.7,2.9,2.9,2.7,3.1,3,3.6,30.6,12.2,9.5,9,6.1,5.2,4.4,4.3,3.6,3.9,3.7,3.5,2.9,2.9,3.2,2.8,2.5,2.2,2.2,2,1.7,2.4,2.4,2.3,1.8,2.2,2.6,2.9,2.8,2.4,2.9,3.2,3,5.6,4.2,3.9,3,3.6,4.3,5,4.3,3.6,3.5,3.6,3.3
"Unemployment Rate in Erie County, NY",Erie County,Erie,county,NY,NY,36,36029,5.7,5.9,5.2,4.9,4.8,5,5.3,5.3,4.8,4.8,4.9,5.1,5.5,5.8,5.1,4.4,3.9,4.2,4.4,4.2,3.6,3.6,3.7,4.1,4.8,4.6,4.3,3.6,3.5,3.8,4.3,4.2,3.7,3.8,3.9,4.3,4.8,4.8,5.5,20.9,15.8,12,10.8,8.4,7.5,6.1,5.9,7.4,7.5,7.5,6.9,6,5.5,5.9,5.6,5.2,4.3,4,3.7,3.3,4.4,4.5,4,3.4,3.2,3.6,3.9,4,3.3,3.1,3.3,3.4,4.1,4.2,3.7,3,3.3,3.5,3.7,4.1,3.8,4,4,4.4
"Unemployment Rate in Essex County, NJ",Essex County,Essex,county,NJ,NJ,34,34013,5.9,5.9,5.4,5.1,5.3,5.6,6,5.9,5.6,5.3,5.3,5,5.7,5.9,5.5,4.9,4.8,5.5,5.6,5.1,4.6,4.2,3.9,4.1,4.9,4.6,4.3,3.5,3.8,4.2,4.8,4.6,4.3,4.3,4.3,4.4,5.2,5.1,6.1,15.2,17.1,16.5,17.9,16.1,9.4,8.6,8.9,8.9,9.6,9.5,9.2,8.8,8.6,9.5,9.3,8.6,7.7,6.9,6.3,6.2,6.8,6.1,5.3,4.6,4.4,4.6,4.6,4.1,3.7,4,4.1,4.2,5.2,5.5,5.2,4.6,5.5,5.8,6.1,6.2,5.8,5.7,5.4,5.6
"Unemployment Rate in Fairfax County, VA",Fairfax County,Fairfax,county,VA,VA,51,51059,3.5,3.4,3.2,2.9,3.1,3.1,3.1,3.1,2.9,2.7,2.7,2.5,2.9,2.7,2.7,2.3,2.4,2.6,2.5,2.5,2.3,2.3,2.3,2.1,2.8,2.5,2.4,2,2.3,2.3,2.3,2.4,2.2,2.1,2.1,1.8,2.3,2.1,2.6,10.3,9.3,9.7,8.6,7.2,5.9,5.3,4.9,4.3,4.4,4.2,4.1,3.7,3.8,4.2,3.9,3.7,2.9,2.5,1.8,2.2,2.4,2.2,2.2,2,2.4,2.5,2.5,2.7,2.5,2.4,2.4,2.1,2.6,2.4,2.4,2.1,2.5,2.5,2.5,2.7,2.6,2.6,2.5,2.3
"Unemployment Rate in Fairfield County, CT",Fairfield County,Fairfield,county,CT,CT,9,9001,5.1,4.9,4.5,4.1,4.3,4.4,4.5,4.4,4,3.9,3.6,3.5,4.5,4.5,4.1,3.7,3.6,4,4,3.7,3.4,3.3,2.9,3,4.3,4.1,3.8,3,3.5,3.6,3.8,3.6,3.2,3.3,3.1,3,4.2,4.1,4.7,7.6,12.1,11.7,12.2,9.5,8.8,7.6,6.9,6.8,7.7,7.7,7.2,6.6,6.6,6.9,6.7,6.1,5.4,5.3,4.5,4.3,5.3,5.2,4.5,3.9,4.2,4.2,4.2,3.9,3.5,3.6,3.3,3,4,4.2,3.7,2.9,3.6,3.8,3.9,4,3.9,4.2,4.1,4.1
"Unemployment Rate in Franklin County, OH",Franklin County,Franklin,county,OH,OH,39,39049,4.8,4.6,4.1,3.7,3.9,4.4,4.3,4.2,3.8,3.7,3.6,3.6,4,4,3.8,3.7,3.6,4.4,4,3.8,3.6,3.6,3.5,3.8,4.2,3.7,3.5,3,3.2,3.9,4,3.8,3.6,3.4,3.3,3.3,4.1,3.7,4.3,12.9,11.7,10.8,9.9,8.1,7.8,6.4,5.7,5.6,6.5,6.4,6.6,5.7,5.2,5.7,5.1,4.6,4.1,3.6,3.3,2.9,3.8,3.6,3.3,3.2,3.2,3.9,3.8,3.8,3.4,3.4,3,3,3.5,3.5,3.3,2.8,3,3.4,3.2,3.3,3.2,3.1,2.8,2.7
"Unemployment Rate in Frederick County, MD",Frederick County,Frederick,county,MD,MD,24,24021,4,3.9,3.5,3,3.2,3.8,3.8,3.6,3.4,3.5,3.4,3.1,3.9,3.9,3.6,3,3.2,3.9,3.6,3.2,3.1,3.2,3,2.9,3.6,3.5,3.2,2.5,2.8,3.2,3.3,3,2.7,2.7,2.6,2.5,3.1,3.1,3.5,8.2,8.4,7.3,6.9,5.8,5.8,5.2,5.1,5.3,5.5,5.4,5,4.5,4.7,5.3,4.5,4.3,3.8,3.6,3.2,2.7,3.1,3.3,2.9,2.4,2.6,3.3,3,3,2.5,2.6,2.2,2,2.3,2.3,1.9,1.4,1.6,1.9,2,2.1,2,2.1,1.9,1.9
